run_duration_sec,writers,batch_size,rows_written,ingestion_throughput_per_sec,readers,queries_executed,avg_agg_query_time,p95_agg_query_time,max_agg_query_time
31.1133,3,3000,9570000,307585.9356,10,287,1068.2125,2697.0429,3179.2635
31.0543,3,5000,10135000,326363.8692,10,286,1069.4832,2666.7603,3382.8775
31.6098,3,8000,10360000,327746.0435,10,290,1064.1501,2550.8333,2894.9822
31.29,4,3000,9885000,315916.1318,10,284,1079.7223,2587.5766,3032.0469
31.5255,4,5000,10295000,326560.6614,10,276,1115.8779,2673.469,3672.8902
31.7594,4,8000,10424000,328217.4265,10,284,1093.3927,2583.7039,3198.9136
31.4401,5,3000,9843000,313071.9265,10,280,1096.9662,2608.9393,3638.6008
31.4671,5,5000,10140000,322241.057,10,285,1078.3235,2576.4493,3213.1066
31.3046,5,8000,10520000,336052.8309,10,286,1068.9778,2564.6339,3214.7636
